passengerId,teleportId,from,to,date
96959,0,pl,wk,1997-01-01
68994,0,pl,wk,1997-01-01
35198,0,pl,wk,1997-01-01
5524,0,pl,wk,1997-01-01
96906,0,pl,wk,1997-01-01
41176,0,pl,wk,1997-01-01
30407,0,pl,wk,1997-01-01
42614,0,pl,wk,1997-01-01
75306,0,pl,wk,1997-01-01
21007,0,pl,wk,1997-01-01
83508,0,pl,wk,1997-01-01
13899,0,pl,wk,1997-01-01
44704,0,pl,wk,1997-01-01
78615,0,pl,wk,1997-01-01
68394,0,pl,wk,1997-01-01
45141,0,pl,wk,1997-01-01
65477,0,pl,wk,1997-01-01
65156,0,pl,wk,1997-01-01
28844,0,pl,wk,1997-01-01
46977,0,pl,wk,1997-01-01
91325,0,pl,wk,1997-01-01
78774,0,pl,wk,1997-01-01
44980,0,pl,wk,1997-01-01
39083,0,pl,wk,1997-01-01
18989,0,pl,wk,1997-01-01
29762,0,pl,wk,1997-01-01
51098,0,pl,wk,1997-01-01
92037,0,pl,wk,1997-01-01
53992,0,pl,wk,1997-01-01
82581,0,pl,wk,1997-01-01
2521,0,pl,wk,1997-01-01
71437,0,pl,wk,1997-01-01
1497,0,pl,wk,1997-01-01
36814,0,pl,wk,1997-01-01
64775,0,pl,wk,1997-01-01
6476,0,pl,wk,1997-01-01
42650,0,pl,wk,1997-01-01
51669,0,pl,wk,1997-01-01
33952,0,pl,wk,1997-01-01
80761,0,pl,wk,1997-01-01
44347,0,pl,wk,1997-01-01
72707,0,pl,wk,1997-01-01
78195,0,pl,wk,1997-01-01
23018,0,pl,wk,1997-01-01
83710,0,pl,wk,1997-01-01
84478,0,pl,wk,1997-01-01
37929,0,pl,wk,1997-01-01
50441,0,pl,wk,1997-01-01
66996,0,pl,wk,1997-01-01
83504,0,pl,wk,1997-01-01
30827,0,pl,wk,1997-01-01
72257,0,pl,wk,1997-01-01
74349,0,pl,wk,1997-01-01
61448,0,pl,wk,1997-01-01
82982,0,pl,wk,1997-01-01
49980,0,pl,wk,1997-01-01
84342,0,pl,wk,1997-01-01
62404,0,pl,wk,1997-01-01
2130,0,pl,wk,1997-01-01
86655,0,pl,wk,1997-01-01
89253,0,pl,wk,1997-01-01
36996,0,pl,wk,1997-01-01
62118,0,pl,wk,1997-01-01
44940,0,pl,wk,1997-01-01
45992,0,pl,wk,1997-01-01
78045,0,pl,wk,1997-01-01
50964,0,pl,wk,1997-01-01
58084,0,pl,wk,1997-01-01
77024,0,pl,wk,1997-01-01
27836,0,pl,wk,1997-01-01
70979,0,pl,wk,1997-01-01
15979,0,pl,wk,1997-01-01
80926,0,pl,wk,1997-01-01
37899,0,pl,wk,1997-01-01
69158,0,pl,wk,1997-01-01
48017,0,pl,wk,1997-01-01
31016,0,pl,wk,1997-01-01
37075,0,pl,wk,1997-01-01
51883,0,pl,wk,1997-01-01
86148,0,pl,wk,1997-01-01
78049,0,pl,wk,1997-01-01
93649,0,pl,wk,1997-01-01
18553,0,pl,wk,1997-01-01
82179,0,pl,wk,1997-01-01
6453,0,pl,wk,1997-01-01
81587,0,pl,wk,1997-01-01
85310,0,pl,wk,1997-01-01
54834,0,pl,wk,1997-01-01
63822,0,pl,wk,1997-01-01
92490,0,pl,wk,1997-01-01
87220,0,pl,wk,1997-01-01
40512,0,pl,wk,1997-01-01
20854,0,pl,wk,1997-01-01
41833,0,pl,wk,1997-01-01
21075,0,pl,wk,1997-01-01
27766,0,pl,wk,1997-01-01
71229,0,pl,wk,1997-01-01
23140,0,pl,wk,1997-01-01
10795,0,pl,wk,1997-01-01
17519,0,pl,wk,1997-01-01
82601,1,gx,wk,1997-01-01
71844,1,gx,wk,1997-01-01
82553,1,gx,wk,1997-01-01
68102,1,gx,wk,1997-01-01
17485,1,gx,wk,1997-01-01
39464,1,gx,wk,1997-01-01
69913,1,gx,wk,1997-01-01
38515,1,gx,wk,1997-01-01
80325,1,gx,wk,1997-01-01
42247,1,gx,wk,1997-01-01
58865,1,gx,wk,1997-01-01
42241,1,gx,wk,1997-01-01
53785,1,gx,wk,1997-01-01
93750,1,gx,wk,1997-01-01
36060,1,gx,wk,1997-01-01
41673,1,gx,wk,1997-01-01
37156,1,gx,wk,1997-01-01
62934,1,gx,wk,1997-01-01
81965,1,gx,wk,1997-01-01
10826,1,gx,wk,1997-01-01
68451,1,gx,wk,1997-01-01
50463,1,gx,wk,1997-01-01
12710,1,gx,wk,1997-01-01
88858,1,gx,wk,1997-01-01
18586,1,gx,wk,1997-01-01
90219,1,gx,wk,1997-01-01
48973,1,gx,wk,1997-01-01
52864,1,gx,wk,1997-01-01
75333,1,gx,wk,1997-01-01
43579,1,gx,wk,1997-01-01
18823,1,gx,wk,1997-01-01
55346,1,gx,wk,1997-01-01
23859,1,gx,wk,1997-01-01
27712,1,gx,wk,1997-01-01
18310,1,gx,wk,1997-01-01
70800,1,gx,wk,1997-01-01
28083,1,gx,wk,1997-01-01
90222,1,gx,wk,1997-01-01
53245,1,gx,wk,1997-01-01
70705,1,gx,wk,1997-01-01
52137,1,gx,wk,1997-01-01
22135,1,gx,wk,1997-01-01
15763,1,gx,wk,1997-01-01
64895,1,gx,wk,1997-01-01
94184,1,gx,wk,1997-01-01
22065,1,gx,wk,1997-01-01
54052,1,gx,wk,1997-01-01
15372,1,gx,wk,1997-01-01
97282,1,gx,wk,1997-01-01
51767,1,gx,wk,1997-01-01
80666,1,gx,wk,1997-01-01
9794,1,gx,wk,1997-01-01
25962,1,gx,wk,1997-01-01
23545,1,gx,wk,1997-01-01
17764,1,gx,wk,1997-01-01
22984,1,gx,wk,1997-01-01
29878,1,gx,wk,1997-01-01
73455,1,gx,wk,1997-01-01
44416,1,gx,wk,1997-01-01
58463,1,gx,wk,1997-01-01
92931,1,gx,wk,1997-01-01
4179,1,gx,wk,1997-01-01
6909,1,gx,wk,1997-01-01
55074,1,gx,wk,1997-01-01
1694,1,gx,wk,1997-01-01
48469,1,gx,wk,1997-01-01
17172,1,gx,wk,1997-01-01
39711,1,gx,wk,1997-01-01
79379,1,gx,wk,1997-01-01
67059,1,gx,wk,1997-01-01
67615,1,gx,wk,1997-01-01
62852,1,gx,wk,1997-01-01
28213,1,gx,wk,1997-01-01
55380,1,gx,wk,1997-01-01
92744,1,gx,wk,1997-01-01
53456,1,gx,wk,1997-01-01
40591,1,gx,wk,1997-01-01
82710,1,gx,wk,1997-01-01
43186,1,gx,wk,1997-01-01
42878,1,gx,wk,1997-01-01
2115,1,gx,wk,1997-01-01
37114,1,gx,wk,1997-01-01
15483,1,gx,wk,1997-01-01
57753,1,gx,wk,1997-01-01
79838,1,gx,wk,1997-01-01
44616,1,gx,wk,1997-01-01
11223,1,gx,wk,1997-01-01
66210,1,gx,wk,1997-01-01
10736,1,gx,wk,1997-01-01
95118,1,gx,wk,1997-01-01
8892,1,gx,wk,1997-01-01
31169,1,gx,wk,1997-01-01
54804,1,gx,wk,1997-01-01
95848,1,gx,wk,1997-01-01
16669,1,gx,wk,1997-01-01
56600,1,gx,wk,1997-01-01
14532,1,gx,wk,1997-01-01
26527,1,gx,wk,1997-01-01
8349,1,gx,wk,1997-01-01
11748,1,gx,wk,1997-01-01
79411,2,ej,qi,1997-01-01
560,2,ej,qi,1997-01-01
9343,2,ej,qi,1997-01-01
72302,2,ej,qi,1997-01-01
42431,2,ej,qi,1997-01-01
48257,2,ej,qi,1997-01-01
87025,2,ej,qi,1997-01-01
4236,2,ej,qi,1997-01-01
60896,2,ej,qi,1997-01-01
73593,2,ej,qi,1997-01-01
46246,2,ej,qi,1997-01-01
87574,2,ej,qi,1997-01-01
94053,2,ej,qi,1997-01-01
37573,2,ej,qi,1997-01-01
23607,2,ej,qi,1997-01-01
6253,2,ej,qi,1997-01-01
38654,2,ej,qi,1997-01-01
22601,2,ej,qi,1997-01-01
75900,2,ej,qi,1997-01-01
48926,2,ej,qi,1997-01-01
27208,2,ej,qi,1997-01-01
96166,2,ej,qi,1997-01-01
37434,2,ej,qi,1997-01-01
27601,2,ej,qi,1997-01-01
53266,2,ej,qi,1997-01-01
87198,2,ej,qi,1997-01-01
31819,2,ej,qi,1997-01-01
6387,2,ej,qi,1997-01-01
79655,2,ej,qi,1997-01-01
94191,2,ej,qi,1997-01-01
25362,2,ej,qi,1997-01-01
39490,2,ej,qi,1997-01-01
57350,2,ej,qi,1997-01-01
20992,2,ej,qi,1997-01-01
80295,2,ej,qi,1997-01-01
17170,2,ej,qi,1997-01-01
76422,2,ej,qi,1997-01-01
91340,2,ej,qi,1997-01-01
45592,2,ej,qi,1997-01-01
90680,2,ej,qi,1997-01-01
62138,2,ej,qi,1997-01-01
57271,2,ej,qi,1997-01-01
8824,2,ej,qi,1997-01-01
33469,2,ej,qi,1997-01-01
48323,2,ej,qi,1997-01-01
90530,2,ej,qi,1997-01-01
24261,2,ej,qi,1997-01-01
88729,2,ej,qi,1997-01-01
91203,2,ej,qi,1997-01-01
12764,2,ej,qi,1997-01-01
62924,2,ej,qi,1997-01-01
3522,2,ej,qi,1997-01-01
57626,2,ej,qi,1997-01-01
84211,2,ej,qi,1997-01-01
85840,2,ej,qi,1997-01-01
82265,2,ej,qi,1997-01-01
68919,2,ej,qi,1997-01-01
44677,2,ej,qi,1997-01-01
45638,2,ej,qi,1997-01-01
9552,2,ej,qi,1997-01-01
4567,2,ej,qi,1997-01-01
95261,2,ej,qi,1997-01-01
43530,2,ej,qi,1997-01-01
83536,2,ej,qi,1997-01-01
24994,2,ej,qi,1997-01-01
93309,2,ej,qi,1997-01-01
27839,2,ej,qi,1997-01-01
73291,2,ej,qi,1997-01-01
12809,2,ej,qi,1997-01-01
41759,2,ej,qi,1997-01-01
39352,2,ej,qi,1997-01-01
91774,2,ej,qi,1997-01-01
75269,2,ej,qi,1997-01-01
68011,2,ej,qi,1997-01-01
23396,2,ej,qi,1997-01-01
70395,2,ej,qi,1997-01-01
84353,2,ej,qi,1997-01-01
48954,2,ej,qi,1997-01-01
16885,2,ej,qi,1997-01-01
79587,2,ej,qi,1997-01-01
32715,2,ej,qi,1997-01-01
18496,2,ej,qi,1997-01-01
32684,2,ej,qi,1997-01-01
24567,2,ej,qi,1997-01-01
97535,2,ej,qi,1997-01-01
82787,2,ej,qi,1997-01-01
14637,2,ej,qi,1997-01-01
17554,2,ej,qi,1997-01-01
62490,2,ej,qi,1997-01-01
70311,2,ej,qi,1997-01-01
85967,2,ej,qi,1997-01-01
28623,2,ej,qi,1997-01-01
95401,2,ej,qi,1997-01-01
66887,2,ej,qi,1997-01-01
38174,2,ej,qi,1997-01-01
6938,2,ej,qi,1997-01-01
53183,2,ej,qi,1997-01-01
16509,2,ej,qi,1997-01-01
83292,2,ej,qi,1997-01-01
83732,2,ej,qi,1997-01-01
14501,3,jv,ec,1997-01-01
42860,3,jv,ec,1997-01-01
54780,3,jv,ec,1997-01-01
43028,3,jv,ec,1997-01-01
52264,3,jv,ec,1997-01-01
45425,3,jv,ec,1997-01-01
26102,3,jv,ec,1997-01-01
9204,3,jv,ec,1997-01-01
29376,3,jv,ec,1997-01-01
62202,3,jv,ec,1997-01-01
56474,3,jv,ec,1997-01-01
3223,3,jv,ec,1997-01-01
74508,3,jv,ec,1997-01-01
50851,3,jv,ec,1997-01-01
85620,3,jv,ec,1997-01-01
38841,3,jv,ec,1997-01-01
64727,3,jv,ec,1997-01-01
27935,3,jv,ec,1997-01-01
17479,3,jv,ec,1997-01-01
9883,3,jv,ec,1997-01-01
73680,3,jv,ec,1997-01-01
3012,3,jv,ec,1997-01-01
33280,3,jv,ec,1997-01-01
53375,3,jv,ec,1997-01-01
76668,3,jv,ec,1997-01-01
38518,3,jv,ec,1997-01-01
6377,3,jv,ec,1997-01-01
95598,3,jv,ec,1997-01-01
60075,3,jv,ec,1997-01-01
78432,3,jv,ec,1997-01-01
39940,3,jv,ec,1997-01-01
7957,3,jv,ec,1997-01-01
41849,3,jv,ec,1997-01-01
13349,3,jv,ec,1997-01-01
86311,3,jv,ec,1997-01-01
26400,3,jv,ec,1997-01-01
23209,3,jv,ec,1997-01-01
50922,3,jv,ec,1997-01-01
44401,3,jv,ec,1997-01-01
78315,3,jv,ec,1997-01-01
80979,3,jv,ec,1997-01-01
95252,3,jv,ec,1997-01-01
65266,3,jv,ec,1997-01-01
55912,3,jv,ec,1997-01-01
60888,3,jv,ec,1997-01-01
51797,3,jv,ec,1997-01-01
71183,3,jv,ec,1997-01-01
47415,3,jv,ec,1997-01-01
63696,3,jv,ec,1997-01-01
33191,3,jv,ec,1997-01-01
80061,3,jv,ec,1997-01-01
11558,3,jv,ec,1997-01-01
32833,3,jv,ec,1997-01-01
25211,3,jv,ec,1997-01-01
34101,3,jv,ec,1997-01-01
14198,3,jv,ec,1997-01-01
52056,3,jv,ec,1997-01-01
59762,3,jv,ec,1997-01-01
92043,3,jv,ec,1997-01-01
59200,3,jv,ec,1997-01-01
57700,3,jv,ec,1997-01-01
10915,3,jv,ec,1997-01-01
73893,3,jv,ec,1997-01-01
87891,3,jv,ec,1997-01-01
40693,3,jv,ec,1997-01-01
42674,3,jv,ec,1997-01-01
65286,3,jv,ec,1997-01-01
47790,3,jv,ec,1997-01-01
76378,3,jv,ec,1997-01-01
4915,3,jv,ec,1997-01-01
90015,3,jv,ec,1997-01-01
47252,3,jv,ec,1997-01-01
67582,3,jv,ec,1997-01-01
48044,3,jv,ec,1997-01-01
30590,3,jv,ec,1997-01-01
69671,3,jv,ec,1997-01-01
43557,3,jv,ec,1997-01-01
43248,3,jv,ec,1997-01-01
46512,3,jv,ec,1997-01-01
79696,3,jv,ec,1997-01-01
10114,3,jv,ec,1997-01-01
42633,3,jv,ec,1997-01-01
69955,3,jv,ec,1997-01-01
68241,3,jv,ec,1997-01-01
70605,3,jv,ec,1997-01-01
1884,3,jv,ec,1997-01-01
73152,3,jv,ec,1997-01-01
46472,3,jv,ec,1997-01-01
12567,3,jv,ec,1997-01-01
41244,3,jv,ec,1997-01-01
90647,3,jv,ec,1997-01-01
