Passenger ID,Longest Run
69978,31
5285,27
6938,26
82394,26
52842,25
57330,25
5814,24
15376,24
52283,24
28655,23
35611,23
46512,23
65390,23
70804,23
90209,23
8067,22
21425,22
33016,22
33191,22
40451,22
45888,22
62806,22
76699,22
82853,22
95252,22
8293,21
10998,21
16370,21
23356,21
25272,21
32408,21
38512,21
38979,21
39176,21
62139,21
69274,21
75333,21
81690,21
93633,21
94739,21
94748,21
96941,21
97179,21
2067,20
4727,20
13034,20
18329,20
18949,20
31770,20
36792,20
40258,20
42805,20
44190,20
47155,20
52504,20
53153,20
61605,20
64785,20
77489,20
77588,20
78018,20
78178,20
79730,20
90004,20
96271,20
612,19
973,19
4872,19
4915,19
5723,19
6121,19
13341,19
15548,19
17133,19
19592,19
21188,19
24656,19
26724,19
31671,19
31703,19
34166,19
34329,19
34587,19
35724,19
37196,19
37734,19
39451,19
45237,19
45423,19
47683,19
64461,19
74349,19
75204,19
78666,19
79228,19
79714,19
81594,19
81889,19
90561,19
90799,19
91120,19
92451,19
896,18
1139,18
1155,18
2210,18
2850,18
3391,18
4227,18
6174,18
7757,18
8553,18
9394,18
11176,18
11552,18
12359,18
14225,18
15855,18
16263,18
16633,18
20536,18
22035,18
22400,18
22415,18
22699,18
22831,18
24259,18
24522,18
24791,18
31026,18
32231,18
34123,18
36073,18
36733,18
37394,18
38518,18
39500,18
39800,18
40335,18
42247,18
42292,18
43206,18
45741,18
48154,18
49646,18
50021,18
50454,18
56129,18
57577,18
58291,18
59264,18
61352,18
62381,18
63878,18
64334,18
67501,18
70266,18
70542,18
71726,18
73078,18
75076,18
76992,18
79462,18
80405,18
81160,18
82119,18
82581,18
86311,18
86862,18
88352,18
90124,18
90782,18
91774,18
92348,18
92512,18
92946,18
97011,18
566,17
1791,17
2228,17
3495,17
3589,17
4505,17
5379,17
6181,17
6302,17
6309,17
6360,17
7103,17
8590,17
9647,17
12376,17
12928,17
14501,17
16820,17
16932,17
17200,17
18422,17
20246,17
22417,17
22895,17
24378,17
24447,17
24769,17
25043,17
26436,17
26789,17
27704,17
29845,17
31195,17
33292,17
35547,17
36453,17
36830,17
36862,17
38685,17
38808,17
39698,17
40404,17
40565,17
40950,17
41566,17
42626,17
43108,17
43444,17
44123,17
44165,17
44623,17
44815,17
44826,17
44940,17
48514,17
51256,17
52498,17
52697,17
55705,17
